transfer_id,chain,transaction_id,block_time_utc,from_address,to_address,asset,amount,period,role,evidence_class,source_id,source_url,notes
harbor-eth-10,ethereum,0x7306831951021604da9a5cb8ec4ca8cba9851dd61009488fe40f613142f217f0,2026-07-18T19:03:11Z,0x01a9bBd0548EF211d4e0c11fF4fFb2f744B1CC80,0x1F21d09C65BC8Af92634DCD5a100B6d04f0c81c3,ETH,10,pre-incident,cross-chain request with decoded BTC destination,observed-decoded,blockscout-api,https://eth.blockscout.com/tx/0x7306831951021604da9a5cb8ec4ca8cba9851dd61009488fe40f613142f217f0,"Memo names bc1qtrw0lkv2pxd43r4n3lppex5y3gp7j87vt6mq3w"
harbor-eth-515,ethereum,0x77b62f242af6d6b79ffbe6ac9706e3196d1d815c50d581f9dbe9c062c05af006,2026-07-18T20:48:47Z,0x01a9bBd0548EF211d4e0c11fF4fFb2f744B1CC80,0x1F21d09C65BC8Af92634DCD5a100B6d04f0c81c3,ETH,5.15,pre-incident,cross-chain request with decoded BTC destination,observed-decoded,blockscout-api,https://eth.blockscout.com/tx/0x77b62f242af6d6b79ffbe6ac9706e3196d1d815c50d581f9dbe9c062c05af006,"Memo names bc1qtrw0lkv2pxd43r4n3lppex5y3gp7j87vt6mq3w"
harbor-usdt-2900,ethereum,0xd2d9bc60641000cb5ed4f863c2b2d1f3f224ce7dcec49d1c4aba208a6c0e2dc0,2026-07-18T22:32:11Z,0x01a9bBd0548EF211d4e0c11fF4fFb2f744B1CC80,0x1F21d09C65BC8Af92634DCD5a100B6d04f0c81c3,USDT,2900,pre-incident,cross-chain request with decoded BTC destination,observed-decoded,blockscout-api,https://eth.blockscout.com/tx/0xd2d9bc60641000cb5ed4f863c2b2d1f3f224ce7dcec49d1c4aba208a6c0e2dc0,"Memo names bc1qtrw0lkv2pxd43r4n3lppex5y3gp7j87vt6mq3w"
harbor-usdt-12358,ethereum,0x4a4824e8dcd057745b94183df50f2e8dbc91fb2f4c34c984883bf9834fe446ed,2026-07-18T22:40:35Z,0x01a9bBd0548EF211d4e0c11fF4fFb2f744B1CC80,0x1F21d09C65BC8Af92634DCD5a100B6d04f0c81c3,USDT,12358,pre-incident,cross-chain request with decoded BTC destination,observed-decoded,blockscout-api,https://eth.blockscout.com/tx/0x4a4824e8dcd057745b94183df50f2e8dbc91fb2f4c34c984883bf9834fe446ed,"Memo names bc1qtrw0lkv2pxd43r4n3lppex5y3gp7j87vt6mq3w"
bridgers-usdc-10000,ethereum,0xda46eb94eb0896f3cd372f4832026ea6639df117143555ad77d064eaa39d5d7b,2026-07-18T17:05:23Z,0x01a9bBd0548EF211d4e0c11fF4fFb2f744B1CC80,0xB685760EBD368a891F27ae547391F4E2A289895b,USDC,10000,pre-incident,cross-chain request with decoded BTC destination,observed-decoded,blockscout-api,https://eth.blockscout.com/tx/0xda46eb94eb0896f3cd372f4832026ea6639df117143555ad77d064eaa39d5d7b,"Destination parameter names bc1qtrw0lkv2pxd43r4n3lppex5y3gp7j87vt6mq3w"
bridgers-usdc-23590,ethereum,0x78a971ea648fa209e7f855b9ce5495506bf912c08d25a8ad41975d0d9b9b724b,2026-07-18T18:16:11Z,0x01a9bBd0548EF211d4e0c11fF4fFb2f744B1CC80,0xB685760EBD368a891F27ae547391F4E2A289895b,USDC,23590,pre-incident,cross-chain request with decoded BTC destination,observed-decoded,blockscout-api,https://eth.blockscout.com/tx/0x78a971ea648fa209e7f855b9ce5495506bf912c08d25a8ad41975d0d9b9b724b,"Destination parameter names bc1qtrw0lkv2pxd43r4n3lppex5y3gp7j87vt6mq3w"
btc-crosschain-split-1,bitcoin,221b56ce877e162a63fe41f9e50a9dfc079a5eb8c389b5b220109e4b379a0666,2026-07-18T22:53:14Z,bc1qtrw0lkv2pxd43r4n3lppex5y3gp7j87vt6mq3w,bc1q4t452dgz24zyjr5ycxqer32yug6spnfvugrh9s,BTC,1,pre-incident,round split,observed,mempool-api,https://mempool.space/tx/221b56ce877e162a63fe41f9e50a9dfc079a5eb8c389b5b220109e4b379a0666,Four-input transaction with change back to source
btc-crosschain-split-2,bitcoin,33555b9e4f34a22ad9ad04bd92afb83874c542a26083aaa089661671559f5a3f,2026-07-19T00:50:09Z,bc1qtrw0lkv2pxd43r4n3lppex5y3gp7j87vt6mq3w,bc1qeqt235mucjq9c9d97s5r9n7netrxx0mpnnkh2g,BTC,2.05,pre-incident,round split,observed,mempool-api,https://mempool.space/tx/33555b9e4f34a22ad9ad04bd92afb83874c542a26083aaa089661671559f5a3f,Thirteen-input transaction with change back to source
btc-seed-pre-sweep,bitcoin,28162d9f1a5283fcb9519a1bddd971aebb44d0d22027cd1696681341c5596587,2026-07-19T03:25:49Z,bc1qmplgt0hcg62jc2guz86wn2sms7tqrsulkkrrls,bc1qr02duy036enr4e9cv20r9cgay2alrs3em0kdzk,BTC,0.1245,pre-incident,seed sweep,observed,mempool-api,https://mempool.space/tx/28162d9f1a5283fcb9519a1bddd971aebb44d0d22027cd1696681341c5596587,Combines 56 seed UTXOs
btc-common-control,bitcoin,abb9f700bbacca228df0cee3da36466c144034b0510b827fff1336775a1610b2,2026-07-20T00:52:19Z,"bc1qr02duy036enr4e9cv20r9cgay2alrs3em0kdzk + bc1q00ztdlxtl48zuccsmul46xu98e99y8qvmkwwvd",3QEwR2BqUHXsmoco95SqpJwMHBWYTPS8XB,BTC,0.3,pre-incident,two-branch merge,observed-plus-heuristic,mempool-api,https://mempool.space/tx/abb9f700bbacca228df0cee3da36466c144034b0510b827fff1336775a1610b2,"Co-spends a seed branch and a branch funded from btc-consolidation; common-control is assessed"
