"path","sha256","size_bytes","media_type","description"
"CHANGELOG.md","8b2aada62a3d5500b3118f05fc65d2b6528395f8a7d24a24641a0e084cadfad2","1169","text/markdown","Release history"
"CITATION.cff","adc736699ebc56ce87b8eb81201b3582ca46f8fb9ed17374b71fa09b15d6dbb1","547","application/yaml","Machine-readable citation"
"functioning-wallet-replacement-hosts.csv","7ef1d0dfc2043138200b8fa1123d817c01a6b52d14ef1152025237ad798b4ec2","13419","text/csv","Strict hostname subset with functioning replacement variants"
"iocs.csv","451b33703f8240ba626aefc7138bb5349383058455ac2eef595da05119e9c538","4246","text/csv","Contextual indicators"
"LICENSE.md","9f5afbd81a393bd1e6cb685f8940efb1cfb816cf842b2d921fcd8c4e957d0e59","413","text/markdown","Reuse terms and third-party evidence boundary"
"observed-hosts.csv","7bf07327cdb277d7f0486c7e48d1ab00d34bee6d19720e79a5f306ecc9a5cfbf","12191","text/csv","Unique exact-response-hash hostname observations"
"onchain-addresses.csv","59fdafa142f7a442338e48dc12923f3cdba5a384d44becc13fa4de89e014597b","8533","text/csv","On-chain address roles and dated public-label provenance"
"onchain-assessments.csv","5f2c49f588be704aac51796f74a27ac581c7bc6ead03bc34e947f6e4ad46de30","4005","text/csv","Confidence-bounded on-chain analytical assessments"
"onchain-methodology.md","aa0c09e78bed6c0706f4183303ad852061bc24d8fefe53af8586dd450a1f628f","3236","text/markdown","On-chain collection and interpretation methodology"
"onchain-transfers.csv","323e43da25b074489f15d6a05bc8fbdf7ec03c744362a8cefa026bd02e183608","14030","text/csv","Selected evidentiary transaction and decoded cross-chain paths; not a complete or raw ledger export"
"payload-capabilities.csv","dc5848ecc4ca7e5d2bb0d4c24af913eaa6b114c03a238c76b20611a71c6f446e","1380","text/csv","Static payload capability matrix"
"README.md","9bdda11a56ae52624d4003042baac08978bb89c44c894c7852f4079f0a6757d8","5782","text/markdown","Release scope, interpretation and limitations"
"reproduction-notes.md","eaaf7c8036f96dd7193cd35b78ad5e690ff9422eb9037dfd890cf8a9b7b5ce1b","1251","text/markdown","Byte-level reproduction notes"
"sources.csv","0503c7374d1df899de0c7342b4a7fc9147c6808feebd4d8dc256b0acd271e935","5147","text/csv","Primary and supporting source register"
"urlscan-exact-hash-observations.csv","4cf918e7c87c77aa845bfc5cc1fbc804bcc71a459aa3cd86f6b5b196f1d8b2f1","21221","text/csv","Individual URLScan exact-response-hash observations"
