"source_id","title","publisher","published_at","accessed_at","url","archive_url","role","notes"
"hecavex-investigation","Hostinger impersonation infrastructure: 298 Cloudflare Pages task domains","HECAVEX","2026-08-24","2026-08-24","https://hecavex.com/en/research/hostinger-pages-phishing-infrastructure/","","primary-research","Bilingual primary research and analytical boundaries; Hostinger was notified privately before publication"
"urlscan-search","URLScan Search API documentation","URLScan","","2026-08-24","https://docs.urlscan.io/apis/urlscan-openapi/search","","methodology","Public scan search semantics and result limits"
"cloudflare-production","Production deployments","Cloudflare","","2026-08-24","https://developers.cloudflare.com/pages/configuration/preview-deployments/","","provider-documentation","Production and preview Pages hostname model"
"cloudflare-direct-upload","Direct Upload","Cloudflare","","2026-08-24","https://developers.cloudflare.com/pages/get-started/direct-upload/","","provider-documentation","Pages project deployment context"
"cloudflare-serving-pages","Serving Pages","Cloudflare","","2026-08-24","https://developers.cloudflare.com/pages/configuration/serving-pages/","","provider-documentation","SPA fallback behavior for unknown paths"
"mitre-dga","T1568.002 Dynamic Resolution: Domain Generation Algorithms","MITRE ATT&CK","","2026-08-24","https://attack.mitre.org/techniques/T1568/002/","","framework","Boundary between classical malware DGA and hosted project naming"
"mitre-credential-api","T1056.003 Input Capture: Web Portal Capture","MITRE ATT&CK","","2026-08-24","https://attack.mitre.org/techniques/T1056/003/","","framework","Credential collection behavior"
"mitre-stage-link","T1608.005 Stage Capabilities: Link Target","MITRE ATT&CK","","2026-08-24","https://attack.mitre.org/techniques/T1608/005/","","framework","Hosted link target context"
